Timestamp,PPG_Crudo,PPG_Filtrado,GSR_Crudo,BPM,Ratio_ba,Aging_Index,SCL
18:46:21.901,-107463.0,,1260.0,,,,
18:46:21.908,-107415.0,,2328.0,,,,
18:46:21.912,-107433.0,,158.0,,,,
18:46:21.917,-107400.0,,316.0,,,,
18:46:21.922,-107407.0,,1258.0,,,,
18:46:21.927,-107389.0,,2332.0,,,,
18:46:21.931,-107428.0,,159.0,,,,
18:46:21.936,-107406.0,,314.0,,,,
18:46:21.940,-107423.0,,1256.0,,,,
18:46:21.945,-107405.0,,2331.0,,,,
18:46:21.950,-107460.0,,167.0,,,,
18:46:21.955,-107481.0,,313.0,,,,
18:46:21.960,-107513.0,,1243.0,,,,
18:46:21.965,-107533.0,,2334.0,,,,
18:46:21.971,-107589.0,,186.0,,,,
18:46:21.976,-107599.0,,328.0,,,,
18:46:21.981,-107612.0,,1721.0,,,,
18:46:21.986,-107668.0,,2104.0,,,,
18:46:21.991,-107710.0,,176.0,,,,
18:46:21.996,-107730.0,,331.0,,,,
18:46:22.001,-107734.0,,1719.0,,,,
18:46:22.006,-107763.0,,2106.0,,,,
18:46:22.011,-107789.0,,183.0,,,,
18:46:22.015,-107818.0,,332.0,,,,
18:46:22.020,-107839.0,,1707.0,,,,
18:46:22.025,-107881.0,,2109.0,,,,
18:46:22.030,-107916.0,,184.0,,,,
18:46:22.035,-107949.0,,332.0,,,,
18:46:22.040,-107960.0,,1706.0,,,,
18:46:22.045,-108021.0,,2110.0,,,,
18:46:22.050,-108060.0,,184.0,,,,
18:46:22.055,-108108.0,,332.0,,,,
18:46:22.060,-108126.0,,1692.0,,,,
18:46:22.065,-108197.0,,2118.0,,,,
18:46:22.070,-108254.0,,174.0,,,,
18:46:22.075,-108301.0,,330.0,,,,
18:46:22.080,-108349.0,,1688.0,,,,
18:46:22.085,-108393.0,,2112.0,,,,
18:46:22.091,-108431.0,,174.0,,,,
18:46:22.095,-108443.0,,332.0,,,,
18:46:22.100,-108472.0,,1678.0,,,,
18:46:22.107,-108518.0,,2123.0,,,,
18:46:22.112,-108551.0,,185.0,,,,
18:46:22.117,-108543.0,,328.0,,,,
18:46:22.121,-108570.0,,1659.0,,,,
18:46:22.126,-108588.0,,2124.0,,,,
18:46:22.130,-108621.0,,185.0,,,,
18:46:22.135,-108608.0,,328.0,,,,
18:46:22.140,-108633.0,,1626.0,,,,
18:46:22.145,-108625.0,,2122.0,,,,
18:46:22.152,-108647.0,,203.0,,,,
18:46:22.156,-108630.0,,359.0,,,,
18:46:22.162,-108630.0,,2076.0,,,,
18:46:22.167,-108642.0,,1628.0,,,,
18:46:22.171,-108665.0,,199.0,,,,
18:46:22.176,-108662.0,,351.0,,,,
18:46:22.182,-108643.0,,2041.0,,,,
18:46:22.186,-108648.0,,1658.0,,,,
18:46:22.192,-108671.0,,189.0,,,,
18:46:22.197,-108699.0,,351.0,,,,
18:46:22.201,-108680.0,,2014.0,,,,
18:46:22.207,-108716.0,,1672.0,,,,
18:46:22.214,-108702.0,,199.0,,,,
18:46:22.218,-108706.0,,349.0,,,,
18:46:22.225,-108718.0,,1998.0,,,,
18:46:22.231,-108739.0,,1676.0,,,,
18:46:22.237,-108754.0,,200.0,,,,
18:46:22.243,-108767.0,,349.0,,,,
18:46:22.250,-108771.0,,1979.0,,,,
18:46:22.254,-108794.0,,1688.0,,,,
18:46:22.258,-108834.0,,198.0,,,,
18:46:22.262,-108849.0,,349.0,,,,
18:46:22.266,-108851.0,,1962.0,,,,
18:46:22.270,-108871.0,,1694.0,,,,
18:46:22.274,-108905.0,,188.0,,,,
18:46:22.278,-108940.0,,347.0,,,,
18:46:22.282,-108942.0,,1946.0,,,,
18:46:22.287,-108966.0,,1706.0,,,,
18:46:22.292,-109001.0,,189.0,,,,
18:46:22.297,-109020.0,,345.0,,,,
18:46:22.302,-109039.0,,1916.0,,,,
18:46:22.307,-109048.0,,1708.0,,,,
18:46:22.311,-109098.0,,190.0,,,,
18:46:22.317,-109111.0,,344.0,,,,
18:46:22.322,-109127.0,,1879.0,,,,
18:46:22.328,-109149.0,,1160.0,,,,
18:46:22.333,-109189.0,,279.0,,,,
18:46:22.338,-109232.0,,429.0,,,,
18:46:22.343,-109237.0,,2411.0,,,,
18:46:22.348,-109271.0,,1181.0,,,,
18:46:22.353,-109298.0,,280.0,,,,
18:46:22.358,-109328.0,,412.0,,,,
18:46:22.362,-109328.0,,2252.0,,,,
18:46:22.367,-109369.0,,1261.0,,,,
18:46:22.372,-109403.0,,269.0,,,,
18:46:22.377,-109429.0,,379.0,,,,
18:46:22.382,-109445.0,,2026.0,,,,
18:46:22.387,-109477.0,,1417.0,,,,
18:46:22.392,-109481.0,,266.0,,,,
18:46:22.397,-109530.0,,368.0,,,,
18:46:22.404,-109542.0,,1980.0,,,,
18:46:22.412,-109579.0,,1438.0,,,,
18:46:22.420,-109613.0,,254.0,,,,
18:46:22.427,-109617.0,,363.0,,,,
18:46:22.434,-109648.0,,1965.0,,,,
18:46:22.442,-109687.0,,1438.0,,,,
18:46:22.449,-109724.0,,254.0,,,,
18:46:22.457,-109751.0,,362.0,,,,
18:46:22.464,-109771.0,,1948.0,,,,
18:46:22.470,-109813.0,,1454.0,,,,
18:46:22.477,-109845.0,,254.0,,,,
18:46:22.484,-109882.0,,362.0,,,,
18:46:22.490,-109879.0,,1931.0,,,,
18:46:22.496,-109915.0,,1464.0,,,,
18:46:22.505,-109951.0,,251.0,,,,
18:46:22.513,-109978.0,,360.0,,,,
18:46:22.522,-110007.0,,1919.0,,,,
18:46:22.530,-110034.0,,1470.0,,,,
18:46:22.539,-110051.0,,252.0,,,,
18:46:22.549,-110100.0,,350.0,,,,
18:46:22.557,-110107.0,,2216.0,,,,
18:46:22.564,-110138.0,,1070.0,,,,
18:46:22.570,-110159.0,,278.0,,,,
18:46:22.576,-110164.0,,473.0,,,,
18:46:22.583,-110169.0,,2191.0,,,,
18:46:22.589,-110206.0,,1082.0,,,,
18:46:22.596,-110208.0,,278.0,,,,
18:46:22.603,-110226.0,,474.0,,,,
18:46:22.609,-110236.0,,2188.0,,,,
18:46:22.615,-110278.0,,1095.0,,,,
18:46:22.623,-110314.0,,270.0,,,,
18:46:22.630,-110338.0,,472.0,,,,
18:46:22.636,-110343.0,,2191.0,,,,
18:46:22.644,-110376.0,,1097.0,,,,
18:46:22.651,-110414.0,,268.0,,,,
18:46:22.657,-110454.0,,473.0,,,,
18:46:22.664,-110447.0,,2186.0,,,,
18:46:22.667,-110492.0,,1098.0,,,,
18:46:22.675,-110516.0,,271.0,,,,
18:46:22.675,-110524.0,,472.0,,,,
18:46:22.683,-110547.0,,2185.0,,,,
18:46:22.692,-110566.0,,1102.0,,,,
18:46:22.701,-110593.0,,270.0,,,,
18:46:22.708,-110613.0,,464.0,,,,
18:46:22.708,-110575.0,,2184.0,,,,
18:46:22.717,-110592.0,,1112.0,,,,
18:46:22.725,-110603.0,,280.0,,,,
18:46:22.730,-110569.0,,462.0,,,,
18:46:22.733,-110561.0,,2185.0,,,,
18:46:22.741,-110514.0,,1114.0,,,,
18:46:22.741,-110469.0,,269.0,,,,
18:46:22.750,-110408.0,,461.0,,,,
18:46:22.750,-110290.0,,2185.0,,,,
18:46:22.758,-110166.0,,1118.0,,,,
18:46:22.758,-110007.0,,266.0,,,,
18:46:22.766,-109848.0,,653.0,,,,
18:46:22.766,-109677.0,,2208.0,,,,
18:46:22.776,-109533.0,,638.0,,,,
18:46:22.784,-109336.0,,281.0,,,,
18:46:22.784,-109155.0,,638.0,,,,
18:46:22.792,-108928.0,,2218.0,,,,
18:46:22.792,-108762.0,,649.0,,,,
18:46:22.800,-108627.0,,281.0,,,,
18:46:22.800,-108489.0,,635.0,,,,
18:46:22.808,-108358.0,,2219.0,,,,
18:46:22.808,-108287.0,,646.0,,,,
18:46:22.817,-108241.0,,280.0,,,,
18:46:22.825,-108180.0,,635.0,,,,
18:46:22.825,-108172.0,,2219.0,,,,
18:46:22.833,-108157.0,,647.0,,,,
18:46:22.833,-108168.0,,280.0,,,,
